Effect,Statistic,Value,Num DF,Den DF,F Value,Pr > F
x0,Wilks' lambda,0.9743279945910336,15,665.0,1.1681133863022823,0.2919381423602613
x0,Pillai's trace,0.025672092170089228,15.0,665.0,1.1681174380764086,0.2919347655977883
x0,Hotelling-Lawley trace,0.02634833320027841,15,664.9999999999992,1.168109438545676,0.2919414324592864
x0,Roy's greatest root,0.026344953154734813,15,665,1.16795958985991,0.29206633614242505
x1,Wilks' lambda,0.9634704885052403,15,665.0,1.680876611086988,0.05011086086284304
x1,Pillai's trace,0.03652964196765247,15.0,665.0,1.680882842318733,0.05010963608695767
x1,Hotelling-Lawley trace,0.03791437460480985,15,664.9999999999992,1.6808706074799031,0.05011204092352954
x1,Roy's greatest root,0.037910802543562404,15,665,1.6807122460979333,0.05014317722832201
x2,Wilks' lambda,0.9811745751033314,15,665.0,0.8506068728877807,0.620727539615477
x2,Pillai's trace,0.0188254811985465,15.0,665.0,0.85060946563824,0.620724566726429
x2,Hotelling-Lawley trace,0.019186563810836763,15,664.9999999999992,0.8506043289470965,0.6207304565375908
x2,Roy's greatest root,0.019183572599455304,15,665,0.8504717185758519,0.620882508455519
x3,Wilks' lambda,0.9598233980485263,15,665.0,1.8557191772327275,0.024674644532685395
x3,Pillai's trace,0.040177377796364024,15.0,665.0,1.8557565128190665,0.02467079934614604
x3,Hotelling-Lawley trace,0.04185751898554162,15,664.9999999999992,1.855683341692345,0.0246783357507284
x3,Roy's greatest root,0.04183819883117728,15,665,1.8548268148488596,0.02476671381099047
x4,Wilks' lambda,0.9905470446296233,15,665.0,0.4230803813833329,0.9726817882334743
x4,Pillai's trace,0.009452957266511398,15.0,665.0,0.42308046705739455,0.9726817616521016
x4,Hotelling-Lawley trace,0.009543164583138624,15,664.9999999999992,0.42308029651914564,0.9726818145635601
x4,Roy's greatest root,0.009542963992441452,15,665,0.42307140366490437,0.9726845735770213
x5,Wilks' lambda,0.9653791204840538,15,665.0,1.5899028260565806,0.07112006866077313
x5,Pillai's trace,0.03462087951594611,15.0,665.0,1.5899028260565782,0.07112006866077313
x5,Hotelling-Lawley trace,0.03586246976067469,15,664.9999999999992,1.589902826056578,0.07112006866077436
x5,Roy's greatest root,0.03586246976067469,15,665,1.589902826056578,0.07112006866077313
x6,Wilks' lambda,0.9635293717995476,15,665.0,1.6780645865179677,0.050666327215441634
x6,Pillai's trace,0.0364709336999716,15.0,665.0,1.6780791750347357,0.050663431305628955
x6,Hotelling-Lawley trace,0.03785076383589536,15,664.9999999999992,1.6780505300580277,0.05066911764923346
x6,Roy's greatest root,0.03784238532054862,15,665,1.6776790825443224,0.05074290595711456
x7,Wilks' lambda,0.9779839749621838,15,665.0,0.9980161246652931,0.4551436324680379
x7,Pillai's trace,0.02201602503781617,15.0,665.0,0.9980161246652922,0.4551436324680379
x7,Hotelling-Lawley trace,0.022511641909743432,15,664.9999999999992,0.9980161246652921,0.4551436324680259
x7,Roy's greatest root,0.022511641909743432,15,665,0.9980161246652922,0.4551436324680379
x8,Wilks' lambda,0.9779038052211529,15,665.0,1.0017324437216502,0.45117228169631624
x8,Pillai's trace,0.022096194778847052,15.0,665.0,1.0017324437216502,0.45117228169631624
x8,Hotelling-Lawley trace,0.022595468655375563,15,664.9999999999992,1.0017324437216502,0.4511722816963226
x8,Roy's greatest root,0.022595468655375563,15,665,1.00173244372165,0.45117228169631624
x9,Wilks' lambda,0.9710596949580804,15,665.0,1.3212577937828576,0.18296732642093524
x9,Pillai's trace,0.02894030504191953,15.0,665.0,1.3212577937828553,0.18296732642093524
x9,Hotelling-Lawley trace,0.02980280737856065,15,664.9999999999992,1.3212577937828553,0.18296732642093422
x9,Roy's greatest root,0.02980280737856065,15,665,1.3212577937828556,0.18296732642093524
x10,Wilks' lambda,0.9741549307880008,15,665.0,1.1761969602430584,0.2852532510884568
x10,Pillai's trace,0.02584506921199923,15.0,665.0,1.1761969602430575,0.2852532510884568
x10,Hotelling-Lawley trace,0.026530758501723102,15,664.9999999999992,1.1761969602430573,0.2852532510884579
