Effect,Statistic,Value,Num DF,Den DF,F Value,Pr > F
x0,Wilks' lambda,0.9917926543960732,8,672.0,0.6951221383562797,0.6960761105232045
x0,Pillai's trace,0.008207345603926768,8.0,672.0,0.6951221383562791,0.6960761105232045
x0,Hotelling-Lawley trace,0.008275263551860463,8,671.9999999999972,0.6951221383562789,0.6960761105231934
x0,Roy's greatest root,0.008275263551860463,8,672,0.6951221383562789,0.6960761105232045
x1,Wilks' lambda,0.9743132267766972,8,672.0,2.214574216441339,0.024735999083170077
x1,Pillai's trace,0.0256867732233028,8.0,672.0,2.2145742164413376,0.024735999083170077
x1,Hotelling-Lawley trace,0.026363978767158777,8,671.9999999999972,2.214574216441337,0.024735999083170295
x1,Roy's greatest root,0.026363978767158777,8,672,2.214574216441337,0.024735999083170077
x2,Wilks' lambda,0.992577525087551,8,672.0,0.6281503226568802,0.7544918928279143
x2,Pillai's trace,0.007422474912448938,8.0,672.0,0.6281503226568782,0.7544918928279143
x2,Hotelling-Lawley trace,0.007477980031629502,8,671.9999999999972,0.6281503226568782,0.7544918928279125
x2,Roy's greatest root,0.007477980031629502,8,672,0.6281503226568782,0.7544918928279143
x3,Wilks' lambda,0.9728738213987284,8,672.0,2.342132096052098,0.017380965251072106
x3,Pillai's trace,0.027126178601271696,8.0,672.0,2.3421320960521026,0.017380965251072106
x3,Hotelling-Lawley trace,0.027882524953001222,8,671.9999999999972,2.3421320960521026,0.01738096525107263
x3,Roy's greatest root,0.027882524953001222,8,672,2.3421320960521026,0.017380965251072106
x4,Wilks' lambda,0.9943366405696146,8,672.0,0.47843172296241077,0.8718154348632401
x4,Pillai's trace,0.005663359430385459,8.0,672.0,0.47843172296241326,0.8718154348632401
x4,Hotelling-Lawley trace,0.005695615749552538,8,671.9999999999972,0.4784317229624132,0.8718154348632393
x4,Roy's greatest root,0.005695615749552538,8,672,0.4784317229624132,0.8718154348632401
x5,Wilks' lambda,0.98182441353967,8,672.0,1.5550125273046433,0.13498753194942464
x5,Pillai's trace,0.018175586460329973,8.0,672.0,1.5550125273046396,0.13498753194942464
x5,Hotelling-Lawley trace,0.0185120538964838,8,671.9999999999972,1.5550125273046393,0.13498753194942895
x5,Roy's greatest root,0.0185120538964838,8,672,1.5550125273046393,0.13498753194942464
x6,Wilks' lambda,0.9842209178848457,8,672.0,1.3466924687207686,0.2171301462166786
x6,Pillai's trace,0.015779082115154358,8.0,672.0,1.3466924687207709,0.2171301462166786
x6,Hotelling-Lawley trace,0.016032053199056796,8,671.9999999999972,1.3466924687207709,0.21713014621668172
x6,Roy's greatest root,0.016032053199056796,8,672,1.3466924687207709,0.2171301462166786
x7,Wilks' lambda,0.9860204956486301,8,672.0,1.1909269337678388,0.3016815356515972
x7,Pillai's trace,0.013979504351369845,8.0,672.0,1.190926933767838,0.3016815356515972
x7,Hotelling-Lawley trace,0.014177701592474262,8,671.9999999999972,1.190926933767838,0.30168153565160344
x7,Roy's greatest root,0.014177701592474262,8,672,1.1909269337678379,0.3016815356515972
x8,Wilks' lambda,0.990316008126308,8,672.0,0.8214098436409134,0.5838209741467943
x8,Pillai's trace,0.009683991873691946,8.0,672.0,0.8214098436409126,0.5838209741467943
x8,Hotelling-Lawley trace,0.00977868861477277,8,671.9999999999972,0.8214098436409126,0.5838209741467821
x8,Roy's greatest root,0.00977868861477277,8,672,0.8214098436409126,0.5838209741467943
x9,Wilks' lambda,0.9960778361595732,8,672.0,0.3307590537965426,0.9542324472027163
x9,Pillai's trace,0.003922163840426773,8.0,672.0,0.33075905379654347,0.9542324472027163
x9,Hotelling-Lawley trace,0.003937607783292185,8,671.9999999999972,0.3307590537965435,0.9542324472027159
x9,Roy's greatest root,0.003937607783292185,8,672,0.3307590537965435,0.9542324472027163
x10,Wilks' lambda,0.9897401296931855,8,672.0,0.870763021440368,0.540833359412532
x10,Pillai's trace,0.010259870306814555,8.0,672.0,0.8707630214403709,0.540833359412532
x10,Hotelling-Lawley trace,0.0103662264457187,8,671.9999999999972,0.8707630214403709,0.5408333594125272
