Effect,Statistic,Value,Num DF,Den DF,F Value,Pr > F
x0,Wilks' lambda,0.9580359297667546,31,672.0,0.9495184053310366,0.5470810510763525
x0,Pillai's trace,0.041964070233245464,31.0,672.0,0.9495184053310369,0.5470810510763525
x0,Hotelling-Lawley trace,0.04380218834116391,31,672.0000000000011,0.9495184053310369,0.5470810510764694
x0,Roy's greatest root,0.04380218834116391,31,672,0.9495184053310369,0.5470810510763525
x1,Wilks' lambda,0.9624448059995332,31,672.0,0.845866364726204,0.7080825913158536
x1,Pillai's trace,0.037555194000466814,31.0,672.0,0.845866364726204,0.7080825913158536
x1,Hotelling-Lawley trace,0.03902062099183382,31,672.0000000000011,0.845866364726204,0.7080825913159251
x1,Roy's greatest root,0.03902062099183382,31,672,0.8458663647262041,0.7080825913158536
x2,Wilks' lambda,0.9285285734470017,31,672.0,1.6685712530378374,0.013605092953012946
x2,Pillai's trace,0.07147142655299836,31.0,672.0,1.668571253037838,0.01360509295301268
x2,Hotelling-Lawley trace,0.07697278101811456,31,672.0000000000011,1.668571253037838,0.013605092953009055
x2,Roy's greatest root,0.07697278101811456,31,672,1.668571253037838,0.01360509295301268
x3,Wilks' lambda,0.9401240814393702,31,672.0,1.3806213685194801,0.08363361485635007
x3,Pillai's trace,0.05987591856062982,31.0,672.0,1.3806213685194808,0.08363361485635007
x3,Hotelling-Lawley trace,0.06368937860729748,31,672.0000000000011,1.3806213685194808,0.08363361485632934
x3,Roy's greatest root,0.06368937860729748,31,672,1.3806213685194808,0.08363361485635007
x4,Wilks' lambda,0.9671806147440605,31,672.0,0.7355808897692557,0.8525547505663393
x4,Pillai's trace,0.03281938525593952,31.0,672.0,0.7355808897692554,0.8525547505663393
x4,Hotelling-Lawley trace,0.03393304699828411,31,672.0000000000011,0.7355808897692555,0.8525547505663758
x4,Roy's greatest root,0.03393304699828411,31,672,0.7355808897692555,0.8525547505663393
x5,Wilks' lambda,0.9593758883407875,31,672.0,0.9179154021449918,0.5970093521879017
x5,Pillai's trace,0.040624111659212564,31.0,672.0,0.9179154021449923,0.5970093521879017
x5,Hotelling-Lawley trace,0.0423443117060934,31,672.0000000000011,0.9179154021449923,0.5970093521880058
x5,Roy's greatest root,0.0423443117060934,31,672,0.9179154021449923,0.5970093521879017
x6,Wilks' lambda,0.9447272295991479,31,672.0,1.268271925846127,0.1524959354150367
x6,Pillai's trace,0.05527277040085208,31.0,672.0,1.2682719258461264,0.1524959354150367
x6,Hotelling-Lawley trace,0.05850659181730643,31,672.0000000000011,1.2682719258461264,0.15249593541499934
x6,Roy's greatest root,0.05850659181730643,31,672,1.2682719258461264,0.1524959354150367
x7,Wilks' lambda,0.9602288092927815,31,672.0,0.8978451498831946,0.6285711403530834
x7,Pillai's trace,0.039771190707218435,31.0,672.0,0.8978451498831939,0.6285711403530834
x7,Hotelling-Lawley trace,0.04141845185473068,31,672.0000000000011,0.8978451498831941,0.6285711403531772
x7,Roy's greatest root,0.04141845185473068,31,672,0.897845149883194,0.6285711403530834
