Effect,Statistic,Value,Num DF,Den DF,F Value,Pr > F
x0,Wilks' lambda,0.9531804006611442,31,672.0,1.064780694388946,0.3735446955330551
x0,Pillai's trace,0.046819599338855815,31.0,672.0,1.064780694388946,0.3735446955330551
x0,Hotelling-Lawley trace,0.04911934750901387,31,672.0000000000011,1.0647806943889457,0.37354469553295844
x0,Roy's greatest root,0.04911934750901387,31,672,1.0647806943889457,0.3735446955330551
x1,Wilks' lambda,0.9471584389270572,31,672.0,1.2093738826210438,0.20304452282623994
x1,Pillai's trace,0.05284156107294277,31.0,672.0,1.209373882621043,0.20304452282623994
x1,Hotelling-Lawley trace,0.055789568989958835,31,672.0000000000011,1.209373882621043,0.20304452282618687
x1,Roy's greatest root,0.055789568989958835,31,672,1.209373882621043,0.20304452282623994
x2,Wilks' lambda,0.9532706888384211,31,672.0,1.0626266873332848,0.37654983942993125
x2,Pillai's trace,0.0467293111615789,31.0,672.0,1.062626687333286,0.37654983942993125
x2,Hotelling-Lawley trace,0.049019981112100985,31,672.0000000000011,1.0626266873332857,0.37654983942983244
x2,Roy's greatest root,0.049019981112100985,31,672,1.062626687333286,0.37654983942993125
x3,Wilks' lambda,0.9578482529067449,31,672.0,0.9539518347574364,0.5400922013947658
x3,Pillai's trace,0.04215174709325508,31.0,672.0,0.9539518347574361,0.5400922013947727
x3,Hotelling-Lawley trace,0.04400670666291744,31,672.0000000000011,0.9539518347574362,0.5400922013948881
x3,Roy's greatest root,0.04400670666291744,31,672,0.9539518347574362,0.5400922013947727
x4,Wilks' lambda,0.9230930907824475,31,672.0,1.806040299771136,0.005099090959606649
x4,Pillai's trace,0.07690690921755255,31.0,672.0,1.8060402997711373,0.005099090959606531
x4,Hotelling-Lawley trace,0.08331435906682332,31,672.0000000000011,1.8060402997711378,0.005099090959605227
x4,Roy's greatest root,0.08331435906682332,31,672,1.8060402997711376,0.005099090959606531
x5,Wilks' lambda,0.9281351244724431,31,672.0,1.6784679327588479,0.012704918062829064
x5,Pillai's trace,0.07186487552755698,31.0,672.0,1.6784679327588488,0.012704918062829064
x5,Hotelling-Lawley trace,0.07742932427905404,31,672.0000000000011,1.6784679327588488,0.012704918062825905
x5,Roy's greatest root,0.07742932427905404,31,672,1.6784679327588488,0.012704918062829064
x6,Wilks' lambda,0.956259173684351,31,672.0,0.9915598836225892,0.4814215125282284
x6,Pillai's trace,0.043740826315649066,31.0,672.0,0.9915598836225903,0.4814215125282284
x6,Hotelling-Lawley trace,0.0457416017742564,31,672.0000000000011,0.9915598836225903,0.4814215125283585
x6,Roy's greatest root,0.0457416017742564,31,672,0.9915598836225903,0.4814215125282284
x7,Wilks' lambda,0.9476426969926229,31,672.0,1.197678425825621,0.21438501866831586
x7,Pillai's trace,0.05235730300737703,31.0,672.0,1.1976784258256201,0.21438501866831586
x7,Hotelling-Lawley trace,0.05525004642945569,31,672.0000000000011,1.19767842582562,0.21438501866826606
x7,Roy's greatest root,0.05525004642945569,31,672,1.1976784258256201,0.21438501866831586
