	Mode 8
Concerns	0.33467428593782184
People	0.21481970035894354
Friend	0.07875347484452354
Family	0.13475991231962495
Today_Past	0.18536029906042037
Social_Future	0.0
Social_Past	-0.07819670560157843
NearLocation	-0.2529274648420053
Guilt	0.20463185872120127
Today_Plan	0.03650093877974032
RecentPast	-0.2857583724973774
DistantPast	0.0
Anger	-0.08414967248037786
Happiness	0.0
Cheerfulness	-0.02207769895169574
Calm	0.07936297232513155
Sadness	0.023225288263659386
Importance	-0.0
TodayFuture	0.08702152583383843
DistantFuture	-0.17740341857041297
NearFuture	-0.07885002433702207
Worries	0.0
DistantLocation	0.18229605941852747
Image	0.48860609471282956
Words	0.16421924104629665
Monologue	-0.05256563002707761
Film	-0.03156390675549439
Narrative	0.056872998733626376
Purpose	0.0
Vague	0.30832770282196853
Fragment	-0.3570843690887674
